protein_name	chemical_id	chemical_name	atc	protein_id	mesh_id	uniprot_id	protein_score	protein_annotation	mesh_score	mesh_annotation	matador_score	matador_annotation
CETP	39042	bezafibrate	C10AB02	9606.ENSP00000200676		Q53YZ1_HUMAN Q13988 Q13987 P11597 Q9H4L8_HUMAN Q8IWL9_HUMAN	950	INDIRECT	0		950	INDIRECT
F9	39042	bezafibrate	C10AB02	9606.ENSP00000218099	D001779	Q5JYJ8_HUMAN P00740 Q86XR9_HUMAN Q7Z7N1_HUMAN Q7Z7N0_HUMAN	0		197	INDIRECT	197	INDIRECT
PLAT	39042	bezafibrate	C10AB02	9606.ENSP00000220809	D001779	Q5HYM8_HUMAN Q503B0_HUMAN Q15103 P00750 Q9BZW1_HUMAN Q9BU99_HUMAN Q9BU99 Q86YK8 Q7Z7N2 Q6PJA5_HUMAN Q6LBF5_HUMAN	0		197	INDIRECT	197	INDIRECT
SERPINE1	39042	bezafibrate	C10AB02	9606.ENSP00000223095	D017395	P05121	0		950	INDIRECT	950	INDIRECT
ENSP00000223298	39042	bezafibrate	C10AB02	9606.ENSP00000223298	D008074	Q5BJI2_HUMAN Q3YBM2_HUMAN Q9Y609_HUMAN Q9BT42_HUMAN	0		240	INDIRECT	240	INDIRECT
PF4V1	39042	bezafibrate	C10AB02	9606.ENSP00000226524	D001779	P10720	0		197	INDIRECT	197	INDIRECT
APOA5	39042	bezafibrate	C10AB02	9606.ENSP00000227665	D001059	Q9UBJ3 Q6UWK9 Q6Q788	0		302	INDIRECT	325	INDIRECT
ENSP00000227666	39042	bezafibrate	C10AB02	9606.ENSP00000227666	D001059		0		302	INDIRECT	325	INDIRECT
ENSP00000227667	39042	bezafibrate	C10AB02	9606.ENSP00000227667	D001059		0		302	INDIRECT	325	INDIRECT
APOM	39042	bezafibrate	C10AB02	9606.ENSP00000229690	D001059	Q5SRP4_HUMAN O95445 Q9UMP6 Q9P046	0		302	INDIRECT	325	INDIRECT
TFPI	39042	bezafibrate	C10AB02	9606.ENSP00000233156	D008074	Q53TS4_HUMAN P10646 O95103	0		240	INDIRECT	240	INDIRECT
APOB	39042	bezafibrate	C10AB02	9606.ENSP00000233242	D001059	Q59HB3_HUMAN Q53QC8_HUMAN Q4ZG63_HUMAN Q13828_HUMAN Q13789_HUMAN Q13788 Q13787 Q13786 Q13785 Q13779 P78481 P78480 P78479 P04114 O00502 Q9UMN0 Q9UE53_HUMAN Q9UE52_HUMAN Q9UE51_HUMAN Q7Z7Q0_HUMAN Q7Z600	950	INDIRECT	302	INDIRECT	950	INDIRECT
ENSP00000236850	39042	bezafibrate	C10AB02	9606.ENSP00000236850	D016632		0		950	INDIRECT	950	INDIRECT
FABP3	39042	bezafibrate	C10AB02	9606.ENSP00000241156	D050556	Q5VV93 P05413 Q99957 Q6IBD7_HUMAN	0		618	INDIRECT	618	INDIRECT
PLAU	39042	bezafibrate	C10AB02	9606.ENSP00000242464	D001779	Q5SWW9_HUMAN Q5SWW8_HUMAN Q5PY49_HUMAN Q59GZ8_HUMAN Q53XS3_HUMAN Q16618 Q15844 P00749 Q9UEJ5_HUMAN Q96SE8_HUMAN Q969W6	0		197	INDIRECT	197	INDIRECT
F10	39042	bezafibrate	C10AB02	9606.ENSP00000246496	D001779	Q5JVE7_HUMAN Q14340 P00742	0		197	INDIRECT	197	INDIRECT
SLURP1	39042	bezafibrate	C10AB02	9606.ENSP00000246515	D001779	Q53YJ6_HUMAN P55000 Q92483 Q6PUA6_HUMAN	0		197	INDIRECT	197	INDIRECT
FGL2	39042	bezafibrate	C10AB02	9606.ENSP00000248598	D005340	Q53GD2_HUMAN Q14314 Q8WWE4_HUMAN	0		705	INDIRECT	705	INDIRECT
KLK12	39042	bezafibrate	C10AB02	9606.ENSP00000250351	D001779	Q49AM7_HUMAN Q9UKR1 Q9UKR0	0		197	INDIRECT	197	INDIRECT
CFHL4	39042	bezafibrate	C10AB02	9606.ENSP00000251424	D001059	Q5TZE7_HUMAN Q5TZE6_HUMAN Q5DVJ7_HUMAN Q9UJY6 Q92496	0		302	INDIRECT	325	INDIRECT
APOE	39042	bezafibrate	C10AB02	9606.ENSP00000252486	D001057	Q13791_HUMAN P02649 Q9P2S4 Q8TCZ8_HUMAN Q6LBZ1_HUMAN Q6LA97_HUMAN	0		950	INDIRECT	950	INDIRECT
APOC4	39042	bezafibrate	C10AB02	9606.ENSP00000252489	D001059	Q53YY8_HUMAN P55056 P02655 Q9UNK3 Q9UDE3 Q9BS39 Q6P163_HUMAN	0		302	INDIRECT	325	INDIRECT
APOC1	39042	bezafibrate	C10AB02	9606.ENSP00000252491	D001059	P02654 Q6IB97_HUMAN	0		302	INDIRECT	325	INDIRECT
F12	39042	bezafibrate	C10AB02	9606.ENSP00000253496	D001779	P78339 P00748 Q96EF3_HUMAN Q8IZZ5_HUMAN	0		197	INDIRECT	197	INDIRECT
FABP4	39042	bezafibrate	C10AB02	9606.ENSP00000256104	D050556	P15090 Q6IBA1_HUMAN	0		618	INDIRECT	618	INDIRECT
TTPA	39042	bezafibrate	C10AB02	9606.ENSP00000260116	D001779	P49638 Q71V64	0		197	INDIRECT	197	INDIRECT
ABCG5	39042	bezafibrate	C10AB02	9606.ENSP00000260645	D008074	Q53T83_HUMAN Q53QN9_HUMAN Q9H222 Q96QZ3_HUMAN Q96QZ2_HUMAN	0		240	INDIRECT	240	INDIRECT
VWF	39042	bezafibrate	C10AB02	9606.ENSP00000261405	D001779	P04275 Q9UD22_HUMAN Q99806_HUMAN Q8TCE8_HUMAN	0		197	INDIRECT	197	INDIRECT
F7	39042	bezafibrate	C10AB02	9606.ENSP00000261967	D001779	Q5JVF2_HUMAN Q5JVF2 Q5JVF1_HUMAN Q14339 P08709 Q9UMU6_HUMAN Q9UD54_HUMAN Q9UD53_HUMAN Q9UD52_HUMAN Q96PQ8_HUMAN Q6TDG2_HUMAN	0		197	INDIRECT	197	INDIRECT
FTL	39042	bezafibrate	C10AB02	9606.ENSP00000263258	D001059	Q4FCH6_HUMAN P02792 Q9BTZ8 Q96CU0_HUMAN Q96AU9_HUMAN Q8WU07_HUMAN Q86WI9_HUMAN Q7Z2W1_HUMAN Q7Z2W1 Q6IBT7_HUMAN	0		302	INDIRECT	302	INDIRECT
F11	39042	bezafibrate	C10AB02	9606.ENSP00000264691	D001779	Q4W5C2_HUMAN P03951 Q9Y495 Q9UEG0_HUMAN	0		197	INDIRECT	197	INDIRECT
F13B	39042	bezafibrate	C10AB02	9606.ENSP00000271509	D001779	Q5VYL5_HUMAN P05160	0		197	INDIRECT	197	INDIRECT
FABP2	39042	bezafibrate	C10AB02	9606.ENSP00000274024	D050556	P12104	0		618	INDIRECT	618	INDIRECT
APOA2	39042	bezafibrate	C10AB02	9606.ENSP00000289906	D016633	P02652	0		950	INDIRECT	950	INDIRECT
KLK8	39042	bezafibrate	C10AB02	9606.ENSP00000291726	D001779	Q5V9X1_HUMAN O60259 Q9UQ47 Q9UKQ9 Q9UIL9 Q9NR69_HUMAN Q9NR68_HUMAN Q9HCB3 Q8IW69_HUMAN	0		197	INDIRECT	197	INDIRECT
RPL29	39042	bezafibrate	C10AB02	9606.ENSP00000294189	D001779	Q5T1D1_HUMAN P47914 Q6IPY3_HUMAN Q6IPY3 Q6IPI1_HUMAN	0		197	INDIRECT	197	INDIRECT
FABP1	39042	bezafibrate	C10AB02	9606.ENSP00000295834	D050556	Q6FGL7_HUMAN P07148	0		618	INDIRECT	618	INDIRECT
PPBP	39042	bezafibrate	C10AB02	9606.ENSP00000296028	D001779	Q6IBJ8 P02775	0		197	INDIRECT	197	INDIRECT
PF4	39042	bezafibrate	C10AB02	9606.ENSP00000296029	D001779	Q9UC64_HUMAN P02776 Q53X61_HUMAN	0		197	INDIRECT	197	INDIRECT
TGM4	39042	bezafibrate	C10AB02	9606.ENSP00000296125	D001779	Q9UBL5_HUMAN Q96QN4 P49221 Q16707	0		197	INDIRECT	197	INDIRECT
ENSP00000297258	39042	bezafibrate	C10AB02	9606.ENSP00000297258	D050556		0		618	INDIRECT	618	INDIRECT
ENSP00000297289	39042	bezafibrate	C10AB02	9606.ENSP00000297289	D008074	Q16609_HUMAN	0		240	INDIRECT	240	INDIRECT
SERPINB2	39042	bezafibrate	C10AB02	9606.ENSP00000299502	D001779	Q96E96 Q6LDR6_HUMAN P05120	0		197	INDIRECT	197	INDIRECT
FABP5	39042	bezafibrate	C10AB02	9606.ENSP00000300149	D050556	Q01469	0		618	INDIRECT	618	INDIRECT
KLK5	39042	bezafibrate	C10AB02	9606.ENSP00000301426	D001779	Q9Y337 Q9HBG8 Q8IU55_HUMAN Q6S9W8_HUMAN Q53ZR3_HUMAN Q53F68_HUMAN	0		197	INDIRECT	197	INDIRECT
APOL6	39042	bezafibrate	C10AB02	9606.ENSP00000303529	D001059	Q9UGG1 Q9BWW8 Q8NCM1_HUMAN Q8IXX6 Q658J1_HUMAN Q5R3S1	0		302	INDIRECT	325	INDIRECT
FGB	39042	bezafibrate	C10AB02	9606.ENSP00000306099	D005340	P02675	0		705	INDIRECT	705	INDIRECT
FGA	39042	bezafibrate	C10AB02	9606.ENSP00000306361	D005340	P02671 Q9UCH2 Q9BX62 Q8WW76_HUMAN Q86Z09_HUMAN Q4QQH7_HUMAN	0		705	INDIRECT	705	INDIRECT
FTLL1	39042	bezafibrate	C10AB02	9606.ENSP00000307530	D001059	O00563_HUMAN Q9BYW6_HUMAN Q6DMM8_HUMAN	0		302	INDIRECT	302	INDIRECT
ENSP00000308541	39042	bezafibrate	C10AB02	9606.ENSP00000308541	D001779	P00734 Q8TD58_HUMAN Q86WA1_HUMAN Q7Z7P3_HUMAN Q69EZ8_HUMAN Q69EZ7_HUMAN Q53H06_HUMAN Q53H04_HUMAN Q4QZ40_HUMAN Q15253_HUMAN	0		197	INDIRECT	197	INDIRECT
KLK6	39042	bezafibrate	C10AB02	9606.ENSP00000309148	D001779	Q92876 Q6H301_HUMAN	0		197	INDIRECT	197	INDIRECT
LPL	39042	bezafibrate	C10AB02	9606.ENSP00000309757		P06858 Q96FC4 Q8NEW3_HUMAN Q71UV2_HUMAN Q6IAV0_HUMAN Q53HW6_HUMAN Q4JIZ7_HUMAN Q16283 Q16282	950	INDIRECT	0		950	INDIRECT
APOF	39042	bezafibrate	C10AB02	9606.ENSP00000311037	D001059	Q8TC13 Q13790	0		302	INDIRECT	325	INDIRECT
FABP6	39042	bezafibrate	C10AB02	9606.ENSP00000312283	D050556	P51161 Q9UGI7 Q8TBI3 Q8IUB1_HUMAN	0		618	INDIRECT	618	INDIRECT
NETO1	39042	bezafibrate	C10AB02	9606.ENSP00000313088	D008077	Q8TDF5 Q8TDF4 Q8ND78 Q86W85	0		950	INDIRECT	950	INDIRECT
KLK15	39042	bezafibrate	C10AB02	9606.ENSP00000314783	D001779	Q9HBG9 Q9H2R6 Q9H2R5 Q9H2R4 Q9H2R3 Q96RQ0_HUMAN Q6UBM2_HUMAN Q6ISI0_HUMAN Q15358	0		197	INDIRECT	197	INDIRECT
CRAT	39042	bezafibrate	C10AB02	9606.ENSP00000315013		P43155 Q9BW16 Q5T952_HUMAN Q5T951_HUMAN	950	INDIRECT	0		950	INDIRECT
APOL1	39042	bezafibrate	C10AB02	9606.ENSP00000317674	D001059	O14791 O60804 Q9BQ03 Q96PM4 Q96AB8 Q5R3P8 Q5R3P7	0		302	INDIRECT	325	INDIRECT
LPA	39042	bezafibrate	C10AB02	9606.ENSP00000321334	D008074	P08519 Q9UIR6_HUMAN Q9UIR5_HUMAN Q9UD88_HUMAN Q8N696_HUMAN Q5VTD7_HUMAN	0		240	INDIRECT	240	INDIRECT
UCP3	39042	bezafibrate	C10AB02	9606.ENSP00000323740		P55916 O60475 Q96HL3	950	INDIRECT	0		950	INDIRECT
KLK4	39042	bezafibrate	C10AB02	9606.ENSP00000326159	D001779	Q9Y5K2 Q9UBJ6 Q9GZL6 Q96RU5_HUMAN Q96PT1_HUMAN Q96JE2_HUMAN Q96JE1_HUMAN Q96JE0_HUMAN Q96JD9_HUMAN Q96JD8_HUMAN Q5BQA0_HUMAN Q4VB18_HUMAN Q4VB17_HUMAN Q4VB16_HUMAN Q4VB16	0		197	INDIRECT	197	INDIRECT
ENSP00000334145	39042	bezafibrate	C10AB02	9606.ENSP00000334145	D001779	P13726 Q8NCW7_HUMAN Q86WH4_HUMAN Q86WH3_HUMAN Q86SE7_HUMAN Q6FHG2	0		197	INDIRECT	197	INDIRECT
FGG	39042	bezafibrate	C10AB02	9606.ENSP00000336829	D005340	P04470 P04469 P02679 Q9UC63_HUMAN Q9UC62_HUMAN Q96KJ3 Q96A14 Q7Z664_HUMAN Q53Y18_HUMAN	0		705	INDIRECT	705	INDIRECT
KLK10	39042	bezafibrate	C10AB02	9606.ENSP00000337084	D001779	O43240 Q9GZW9 Q99920 Q6ICR6_HUMAN Q53YL3_HUMAN	0		197	INDIRECT	197	INDIRECT
KLK7	39042	bezafibrate	C10AB02	9606.ENSP00000337540	D001779	Q8NFV7 Q8N5N9 P49862	0		197	INDIRECT	197	INDIRECT
ENSP00000341714	39042	bezafibrate	C10AB02	9606.ENSP00000341714	D001059		0		302	INDIRECT	302	INDIRECT
APOL3	39042	bezafibrate	C10AB02	9606.ENSP00000344577	D001059	O95236 Q9BQA3 Q9BQ82 Q5U5N4_HUMAN	0		302	INDIRECT	325	INDIRECT
APOD	39042	bezafibrate	C10AB02	9606.ENSP00000345179	D001059	P05090 Q6IBG6_HUMAN	0		302	INDIRECT	325	INDIRECT
FABP7	39042	bezafibrate	C10AB02	9606.ENSP00000348931	D050556	O14951 O15540 Q9H047_HUMAN Q6IAU7	0		618	INDIRECT	618	INDIRECT
APOA4	39042	bezafibrate	C10AB02	9606.ENSP00000350425	D001059	P06727 Q6Q787_HUMAN Q6Q787 Q13784_HUMAN	0		302	INDIRECT	325	INDIRECT
ENSP00000352471	39042	bezafibrate	C10AB02	9606.ENSP00000352471	D016632	Q9Y355_HUMAN Q9UCT8_HUMAN Q8TDB0_HUMAN Q6Q785_HUMAN Q6Q785 Q6LDN9 P02647	950	INDIRECT	950	INDIRECT	950	INDIRECT
F8	39042	bezafibrate	C10AB02	9606.ENSP00000353393	D001779	Q9UQQ5_HUMAN Q71UI6_HUMAN Q5HY69_HUMAN Q14286_HUMAN P00451	0		197	INDIRECT	197	INDIRECT
ENSP00000353540	39042	bezafibrate	C10AB02	9606.ENSP00000353540	D001059	Q6Q786_HUMAN Q6Q786 P02656	0		302	INDIRECT	325	INDIRECT
F5	39042	bezafibrate	C10AB02	9606.ENSP00000354631	D001779	Q9P1A8_HUMAN Q9HB27_HUMAN Q8WWQ7_HUMAN Q8WWQ6_HUMAN Q8TD21_HUMAN Q8IUL1_HUMAN Q6UPU6 Q5R347_HUMAN Q5R346_HUMAN Q15430_HUMAN Q14285 P12259	0		197	INDIRECT	197	INDIRECT
D001053	39042	bezafibrate	C10AB02	D001053			0		325	INDIRECT	325	INDIRECT
D001057	39042	bezafibrate	C10AB02	D001057			0		950	INDIRECT	950	INDIRECT
D001059	39042	bezafibrate	C10AB02	D001059			0		302	INDIRECT	302	INDIRECT
D001779	39042	bezafibrate	C10AB02	D001779			0		197	INDIRECT	197	INDIRECT
D005340	39042	bezafibrate	C10AB02	D005340			0		705	INDIRECT	705	INDIRECT
D008074	39042	bezafibrate	C10AB02	D008074			0		240	INDIRECT	240	INDIRECT
D008076	39042	bezafibrate	C10AB02	D008076			0		950	INDIRECT	950	INDIRECT
D008077	39042	bezafibrate	C10AB02	D008077			0		950	INDIRECT	950	INDIRECT
D008078	39042	bezafibrate	C10AB02	D008078			0		950	INDIRECT	950	INDIRECT
D016632	39042	bezafibrate	C10AB02	D016632			0		950	INDIRECT	950	INDIRECT
D016633	39042	bezafibrate	C10AB02	D016633			0		950	INDIRECT	950	INDIRECT
D017395	39042	bezafibrate	C10AB02	D017395			0		950	INDIRECT	950	INDIRECT
D050556	39042	bezafibrate	C10AB02	D050556			0		618	INDIRECT	618	INDIRECT
CYP26B1	38409	tienilic acid	C03CC02	9606.ENSP00000001146	D003577	Q53TW1 Q9NR63 Q9NP41 Q68D05_HUMAN	0		163	DIRECT	163	DIRECT
CYP51A1	38409	tienilic acid	C03CC02	9606.ENSP00000003100	D003577	Q16850 Q16784 P450L1 P45014DM O00770 O00772 Q99868 Q8N1A8	0		163	DIRECT	163	DIRECT
CYP24A1	38409	tienilic acid	C03CC02	9606.ENSP00000216862	D003577	Q5I2W7_HUMAN Q15807 Q07973	0		163	DIRECT	163	DIRECT
CYP4F3	38409	tienilic acid	C03CC02	9606.ENSP00000221307	D003577	Q5U740 Q08477 O60634	0		163	DIRECT	163	DIRECT
CYP4F2	38409	tienilic acid	C03CC02	9606.ENSP00000221700	D003577	Q16677 P78329 Q9UIU8 Q9NNZ0 Q6NWT6 Q6NWT5_HUMAN Q6NWT4	0		163	DIRECT	163	DIRECT
CYP3A43	38409	tienilic acid	C03CC02	9606.ENSP00000222382	D003577	Q9HB57 Q9HB55 Q9HB54 Q9HB53 Q9HB52 Q9HB51_HUMAN Q9HB50_HUMAN Q7Z2G5_HUMAN Q75MK3_HUMAN Q75MK2_HUMAN	0		163	DIRECT	163	DIRECT
CYP3A5	38409	tienilic acid	C03CC02	9606.ENSP00000222982	D003577	Q53WY8 Q53GC3_HUMAN P20815 Q9HB56 Q96RK6_HUMAN Q86SK1_HUMAN Q7Z447_HUMAN Q7Z446_HUMAN Q7Z3N0_HUMAN Q75MV0_HUMAN Q75MV0	0		163	DIRECT	163	DIRECT
CYP26A1	38409	tienilic acid	C03CC02	9606.ENSP00000224356	D003577	Q5VXI0_HUMAN Q5VXH9_HUMAN O43174	0		163	DIRECT	163	DIRECT
CYP27B1	38409	tienilic acid	C03CC02	9606.ENSP00000228606	D003577	Q548T3_HUMAN P450C1 alpha O15528 Q9UP42_HUMAN Q7Z654_HUMAN	0		163	DIRECT	163	DIRECT
PTGIS	38409	tienilic acid	C03CC02	9606.ENSP00000244043	D003577	Q16647 Q9HAX4 Q9HAX3 Q9HAX2 Q6LEN2_HUMAN Q6LEN0_HUMAN	0		163	DIRECT	163	DIRECT
CYP2E1	38409	tienilic acid	C03CC02	9606.ENSP00000252945	D003577	Q5VZD5_HUMAN Q4LBD0_HUMAN Q3YA63_HUMAN Q16868_HUMAN P05181 Q9UK47 Q6NWT9_HUMAN Q6NWT7_HUMAN	0		163	DIRECT	163	DIRECT
CYP2J2	38409	tienilic acid	C03CC02	9606.ENSP00000257149	D003577	P51589 Q9UN91_HUMAN Q96RX4_HUMAN Q8TF13_HUMAN	0		163	DIRECT	163	DIRECT
CYP27A1	38409	tienilic acid	C03CC02	9606.ENSP00000258415	D003577	Q02318 Q86YQ6 Q6LDB4	0		163	DIRECT	163	DIRECT
CYP19A1	38409	tienilic acid	C03CC02	9606.ENSP00000260433	D003577	Q58FA0 Q45RG7_HUMAN Q16731 Q16449_HUMAN P11511 Q8TCA4_HUMAN Q8IYJ7_HUMAN Q8IYG4_HUMAN Q7Z471_HUMAN	0		163	DIRECT	163	DIRECT
CYP1B1	38409	tienilic acid	C03CC02	9606.ENSP00000260630	D003577	Q5TZW8_HUMAN Q5TZV6_HUMAN Q53TK1_HUMAN Q4U3K8_HUMAN Q16678 Q9H316 Q93089	0		163	DIRECT	163	DIRECT
CYP2C9	38409	tienilic acid	C03CC02	9606.ENSP00000260682	D003577	Q5VX92_HUMAN Q5EDC5_HUMAN Q16872 Q16756 P11713 P11712 Q9UQ59_HUMAN Q9UEH3_HUMAN Q8WW80_HUMAN Q6IRV8_HUMAN	0		163	DIRECT	163	DIRECT
CH25H	38409	tienilic acid	C03CC02	9606.ENSP00000260706	D003577	O95992_HUMAN	0		163	DIRECT	163	DIRECT
CYP46A1	38409	tienilic acid	C03CC02	9606.ENSP00000261835	D003577	Q9Y6A2 Q8N2B0_HUMAN	0		163	DIRECT	163	DIRECT
CYP20A1	38409	tienilic acid	C03CC02	9606.ENSP00000264278	D003577	Q53RS5_HUMAN Q4ZG61_HUMAN Q9HC04_HUMAN Q8WZ13_HUMAN Q8WWA9_HUMAN Q8N4Q8_HUMAN Q6UW02_HUMAN Q658T6_HUMAN	0		163	DIRECT	163	DIRECT
CYP11A1	38409	tienilic acid	C03CC02	9606.ENSP00000268053	D003577	Q16805 Q15081 P05108 Q8N1A7_HUMAN	0		163	DIRECT	163	DIRECT
CYP1A1	38409	tienilic acid	C03CC02	9606.ENSP00000268062	D003577	Q53G23_HUMAN Q53G18_HUMAN P04798	0		163	DIRECT	163	DIRECT
ENSP00000269703	38409	tienilic acid	C03CC02	9606.ENSP00000269703	D003577	Q8N8H4_HUMAN Q6NT55_HUMAN	0		163	DIRECT	163	DIRECT
CYP4B1	38409	tienilic acid	C03CC02	9606.ENSP00000271153	D003577	Q5SXC1_HUMAN P13584 Q8WWV1_HUMAN Q8WWV0 Q8WWU9 Q8WWF2_HUMAN Q8TD85 Q8IZB0_HUMAN	0		163	DIRECT	163	DIRECT
ENSP00000274118	38409	tienilic acid	C03CC02	9606.ENSP00000274118	D003577	Q49AA5_HUMAN	0		163	DIRECT	163	DIRECT
CYP39A1	38409	tienilic acid	C03CC02	9606.ENSP00000275016	D003577	Q5VTT0_HUMAN Q9NYL5 Q96FW5	0		163	DIRECT	163	DIRECT
CYP17A1	38409	tienilic acid	C03CC02	9606.ENSP00000278017	D003577	Q5TZV7 P450C17 P05093	0		163	DIRECT	163	DIRECT
CYP26C1	38409	tienilic acid	C03CC02	9606.ENSP00000285949	D003577	Q5VXH6 Q6ZSQ2_HUMAN Q6V0L0	0		163	DIRECT	163	DIRECT
CYP2C18	38409	tienilic acid	C03CC02	9606.ENSP00000285979	D003577	Q53EX9_HUMAN Q4VAT6_HUMAN Q4VAT5_HUMAN Q16751 Q16750_HUMAN Q16703 P33260 Q7Z348_HUMAN Q6GRG1_HUMAN	0		163	DIRECT	163	DIRECT
CYP2C19	38409	tienilic acid	C03CC02	9606.ENSP00000285981	D003577	Q16743_HUMAN P33261 P33259 Q8WZB2_HUMAN Q8WZB2 Q8WZB1_HUMAN Q8WZB1 Q767A3_HUMAN	0		163	DIRECT	163	DIRECT
CYP2C8	38409	tienilic acid	C03CC02	9606.ENSP00000285985	D003577	Q5VX93_HUMAN P10632 Q9UCZ9_HUMAN Q8WWB1_HUMAN	0		163	DIRECT	163	DIRECT
CYP3A7	38409	tienilic acid	C03CC02	9606.ENSP00000292414	D003577	P24462 Q9H241_HUMAN Q6KGV3_HUMAN	0		163	DIRECT	163	DIRECT
CYP11B1	38409	tienilic acid	C03CC02	9606.ENSP00000292427	D003577	Q4VAQ9_HUMAN Q4VAQ8_HUMAN Q14095 P450C11 P15538 Q9UML2 Q8TE40_HUMAN Q8TE39_HUMAN Q8TE38_HUMAN Q8TDD0_HUMAN Q8N9P8_HUMAN	0		163	DIRECT	163	DIRECT
CYP4A22	38409	tienilic acid	C03CC02	9606.ENSP00000294337	D003577	Q5TCH4_HUMAN Q5TCH3_HUMAN Q9NRM4_HUMAN Q6JXK8_HUMAN Q6JXK7_HUMAN	0		163	DIRECT	163	DIRECT
ENSP00000294342	38409	tienilic acid	C03CC02	9606.ENSP00000294342	D003577	Q8N1L4_HUMAN Q66ZJ5_HUMAN	0		163	DIRECT	163	DIRECT
CYP2A6	38409	tienilic acid	C03CC02	9606.ENSP00000301141	D003577	P11509 P10890 P00190 Q9UK48 Q9H1Z7 Q4VAU1_HUMAN Q4VAU1 Q4VAU0_HUMAN Q4VAU0 Q4VAT9_HUMAN Q4VAT9 Q16803 Q13120_HUMAN	0		163	DIRECT	163	DIRECT
CYP2A7	38409	tienilic acid	C03CC02	9606.ENSP00000301146	D003577	P20853 Q13121	0		163	DIRECT	163	DIRECT
CYP2S1	38409	tienilic acid	C03CC02	9606.ENSP00000301173	D003577	Q9BZ66 Q96SQ9	0		163	DIRECT	163	DIRECT
CYP7A1	38409	tienilic acid	C03CC02	9606.ENSP00000301645	D003577	P22680 Q7KZ19 P78454	0		163	DIRECT	163	DIRECT
CYP21A2	38409	tienilic acid	C03CC02	9606.ENSP00000303875	D003577	P08686 P04033 Q9UP07_HUMAN Q96NU8_HUMAN Q8TE42_HUMAN Q7KZ07_HUMAN Q7KYP0_HUMAN Q5ST44_HUMAN Q5ST42_HUMAN Q5JNW8_HUMAN Q16874_HUMAN Q16806_HUMAN Q16755_HUMAN Q16749 Q16748_HUMAN Q16746_HUMAN Q16742_HUMAN Q16741_HUMAN Q01204	0		163	DIRECT	163	DIRECT
CYP2W1	38409	tienilic acid	C03CC02	9606.ENSP00000310149	D003577	Q9NXA2_HUMAN Q8TAV3	0		163	DIRECT	163	DIRECT
CYP7B1	38409	tienilic acid	C03CC02	9606.ENSP00000310721	D003577	O75881 Q9UNF5	0		163	DIRECT	163	DIRECT
CYP4A11	38409	tienilic acid	C03CC02	9606.ENSP00000311095	D003577	Q8TCB1_HUMAN Q8IWY5 Q86SU6_HUMAN Q5VSP8_HUMAN Q16866 Q16865 Q16802_HUMAN Q06766 Q02928	0		163	DIRECT	163	DIRECT
CYP4F8	38409	tienilic acid	C03CC02	9606.ENSP00000314398	D003577	P98187	0		163	DIRECT	163	DIRECT
CYP8B1	38409	tienilic acid	C03CC02	9606.ENSP00000318867	D003577	O75958 Q9UNU6 Q6NWT3_HUMAN Q6NWT2_HUMAN	0		163	DIRECT	163	DIRECT
CYP4F11	38409	tienilic acid	C03CC02	9606.ENSP00000319859	D003577	O75254 Q9HBI6 Q96AQ5 Q8N3P5_HUMAN	0		163	DIRECT	163	DIRECT
CYP4F12	38409	tienilic acid	C03CC02	9606.ENSP00000321821	D003577	O60389_HUMAN Q9HCS2 Q9HCS1 Q8IV39_HUMAN	0		163	DIRECT	163	DIRECT
CYP2B6	38409	tienilic acid	C03CC02	9606.ENSP00000324648	D003577	P20813 Q9UNX8_HUMAN Q9UK46 Q6NWU2_HUMAN Q6NWU1_HUMAN Q2V565	0		163	DIRECT	163	DIRECT
CYP11B2	38409	tienilic acid	C03CC02	9606.ENSP00000325822	D003577	P19099 Q16726 Q16316_HUMAN Q16315_HUMAN Q14098_HUMAN	0		163	DIRECT	163	DIRECT
ENSP00000330650	38409	tienilic acid	C03CC02	9606.ENSP00000330650	D003577	Q14097_HUMAN	0		163	DIRECT	163	DIRECT
CYP2A13	38409	tienilic acid	C03CC02	9606.ENSP00000332679	D003577	Q9H2X2 Q6R570_HUMAN Q6R569_HUMAN Q53YR8_HUMAN Q53YR8 Q16696	0		163	DIRECT	163	DIRECT
CYP2U1	38409	tienilic acid	C03CC02	9606.ENSP00000333212	D003577	Q96EQ6_HUMAN Q7Z449_HUMAN	0		163	DIRECT	163	DIRECT
CYP2F1	38409	tienilic acid	C03CC02	9606.ENSP00000333534	D003577	P24903 Q8WWJ2_HUMAN	0		163	DIRECT	163	DIRECT
COQ6	38409	tienilic acid	C03CC02	9606.ENSP00000333946	D003577	Q9Y2Z9 Q96CK2 Q96CA1 Q86U30_HUMAN Q53GG6_HUMAN	0		163	DIRECT	163	DIRECT
CYP4Z1	38409	tienilic acid	C03CC02	9606.ENSP00000334246	D003577	Q86W10 Q5VVE4_HUMAN	0		163	DIRECT	163	DIRECT
CYP2R1	38409	tienilic acid	C03CC02	9606.ENSP00000334592	D003577	Q6VVX0 Q5RT65	0		163	DIRECT	163	DIRECT
CYP4X1	38409	tienilic acid	C03CC02	9606.ENSP00000334954	D003577	Q8NAZ3_HUMAN Q8N118 Q5VVE5_HUMAN	0		163	DIRECT	163	DIRECT
